# GitHub repository metadata for exact current WebMCP API code matches
# Source query: document.modelContext.registerTool
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: distinct repositories represented in GitHub's capped first 1,000 code-search results.
# Important: stars measure repository reach, not the maturity of its WebMCP integration; forks and vendored WPT copies remain labelled.
# Columns: repo, stars, forks, is_fork, created_at, updated_at, primary_language, description, homepage, github_url
repo	stars	forks	is_fork	created_at	updated_at	primary_language	description	homepage	github_url
hashgraph-online/awesome-codex-plugins	878	264	false	2026-03-28T02:38:44Z	2026-09-02T08:51:16Z	Python	A curated list of awesome OpenAI Codex / ChatGPT plugins, skills, and resources. The #1 Codex Marketplace.  See live plugins at: https://hol.org/registry/plugins 	https://hol.org/registry/plugins	https://github.com/hashgraph-online/awesome-codex-plugins
vinhnx/VTCode	827	81	false	2025-08-29T09:01:48Z	2026-09-02T03:27:20Z	Rust	VT Code is an open-source Rust terminal coding agent.	https://vinhnx.github.io/VTCode/	https://github.com/vinhnx/VTCode
needle-tools/needle-engine-support	605	54	false	2022-04-27T13:24:52Z	2026-09-01T13:30:53Z	JavaScript	Build 3D web experiences that work everywhere. From browser to VR headsets, mobile AR to iOS WebXR – create once, deploy anywhere. No app stores, no waiting, no limitations. Get started at https://docs.needle.tools/getting-started	https://docs.needle.tools/getting-started	https://github.com/needle-tools/needle-engine-support
GoogleChromeLabs/webmcp-tools	551	102	false	2026-01-29T10:47:38Z	2026-09-02T06:23:23Z	TypeScript	This repository contains a suite of developer utilities and demos designed to support the adoption of the WebMCP API.		https://github.com/GoogleChromeLabs/webmcp-tools
sqlrooms/sqlrooms	504	40	false	2024-01-31T10:20:42Z	2026-09-01T17:32:57Z	TypeScript	Building blocks for React data analytics apps powered by DuckDB-WASM	https://sqlrooms.org	https://github.com/sqlrooms/sqlrooms
w3c/webref	461	134	false	2017-07-03T06:50:01Z	2026-09-02T09:19:45Z	JavaScript	Machine-readable references of terms defined in web browser specifications	https://w3c.github.io/webref/	https://github.com/w3c/webref
Arenukvern/mcp_flutter	372	45	false	2025-03-17T22:52:24Z	2026-09-01T05:52:40Z	Dart	MCP Toolkit for Flutter AI Agent Driven Development (MCP/CLI + custom client side tools) - via closed feedback loop (visual & semantic snapshot) and high client side customization adaptable for any Flutter app. Nowadays it is often called as agentic harness.	https://docs.page/arenukvern/mcp_flutter	https://github.com/Arenukvern/mcp_flutter
unjs/undocs	363	28	false	2024-01-12T10:52:48Z	2026-08-31T22:53:24Z	TypeScript	Minimal Documentation theme and CLI for shared usage across UnJS projects.	https://undocs.unjs.io/	https://github.com/unjs/undocs
BrowserWorks/waterfox-android	353	32	false	2022-04-04T11:11:26Z	2026-09-01T18:12:34Z	JavaScript	Waterfox for Android		https://github.com/BrowserWorks/waterfox-android
YusukeIwaki/puppeteer-ruby	328	42	false	2019-12-05T09:21:47Z	2026-08-16T12:24:50Z	Ruby	A Ruby port of Puppeteer		https://github.com/YusukeIwaki/puppeteer-ruby
telerik/kendo-react	240	58	false	2017-07-21T14:22:27Z	2026-08-19T11:38:17Z	HTML	Issue tracker - KendoReact	http://www.telerik.com/kendo-react-ui/	https://github.com/telerik/kendo-react
kenrick95/ikuyo	185	17	false	2024-08-09T08:47:18Z	2026-09-01T05:57:02Z	TypeScript	Plan your next trip!	https://ikuyo.kenrick95.org	https://github.com/kenrick95/ikuyo
GoogleChromeLabs/use-webmcp-tool	172	3	false	2026-07-21T15:26:03Z	2026-08-28T21:39:50Z	JavaScript			https://github.com/GoogleChromeLabs/use-webmcp-tool
edward-playground/aidefense-framework	171	41	false	2025-06-03T16:30:37Z	2026-08-30T16:14:36Z	JavaScript	An open-source knowledge base of defensive countermeasures to protect AI/ML systems. Features interactive views and maps defenses to known threats from frameworks like MITRE ATLAS, MAESTRO, and OWASP.		https://github.com/edward-playground/aidefense-framework
devlint/GitWand	167	7	false	2026-04-03T08:11:05Z	2026-09-01T09:56:07Z	TypeScript	The Git client that actually resolves conflicts: 8 deterministic patterns auto-resolve the ones that were never decisions, full trace on the rest. Native (Tauri 2 + Rust), free, MIT.	https://gitwand.app	https://github.com/devlint/GitWand
nwjs/chromium.src	161	127	false	2016-01-27T14:17:03Z	2026-08-18T13:14:24Z	C++	Chromium codebase with NW.js modifications. Based on https://chromium.googlesource.com/chromium/src.git		https://github.com/nwjs/chromium.src
PerpetualSoftware/pad	147	21	false	2026-03-26T13:39:22Z	2026-09-01T21:57:05Z	Go	Project Management for the agent era	https://getpad.dev	https://github.com/PerpetualSoftware/pad
gaopengbin/cesium-mcp	134	25	false	2026-03-14T15:36:55Z	2026-09-02T06:36:50Z	JavaScript	Protocol-agnostic CesiumJS AI control runtime for MCP, WebMCP, function calling, and browser agents.	https://gaopengbin.github.io/cesium-mcp/	https://github.com/gaopengbin/cesium-mcp
igrigorik/AgentBoard	129	21	false	2025-10-05T04:45:22Z	2026-08-28T05:24:17Z	TypeScript	A switchboard for AI in your browser: wire in any model, script WebMCP tools, connect remote MCP servers, bring your commands.	https://chromewebstore.google.com/detail/agentboard/jlmajjfiibgnejlndfoboojahlclgoam?authuser=0&hl=en	https://github.com/igrigorik/AgentBoard
opentiny/webmcp-sdk	117	21	false	2025-07-15T03:48:45Z	2026-08-26T07:48:43Z	TypeScript	OpenTiny NEXT-SDKs is a front-end AI and browser automation toolkit. It implements WebMCP + WebSkills to build AI-native apps, and leverages webmcp-cli to enable LLM agents to remote-control any webpage without source code modifications. OpenTiny NEXT-SDKs 是一套前端 AI 与浏览器自动化工具包。它通过 WebMCP + WebSkills 协议构建 AI 原生应用，并利用 webmcp-cli 实现了无需修改源码即可让大模型代理自动控制任	https://docs.opentiny.design/next-sdk/guide	https://github.com/opentiny/webmcp-sdk
forter/agentic-readiness-guide	106	4	false	2026-06-03T06:16:58Z	2026-07-29T12:34:16Z	JavaScript	Agentic Readiness Guide		https://github.com/forter/agentic-readiness-guide
JoviDeCroock/pracht	95	3	false	2026-04-06T05:19:19Z	2026-09-01T05:09:31Z	TypeScript	A framework for Preact that deploys anywhere	https://pracht.resynapse.dev/	https://github.com/JoviDeCroock/pracht
githits-com/githits-cli	92	9	false	2026-02-24T07:18:55Z	2026-09-02T08:45:59Z	TypeScript	CLI & MCP for GitHits - The Code Context Layer for AI Coding Agents	https://githits.com	https://github.com/githits-com/githits-cli
tempoxyz/mpp	87	179	false	2026-01-29T05:32:14Z	2026-09-01T13:37:14Z	TypeScript	Website for the Machine Payments Protocol	https://mpp.dev	https://github.com/tempoxyz/mpp
opentiny/tiny-pro	84	26	false	2025-03-31T02:59:50Z	2026-08-16T05:51:34Z	TypeScript	基于 TinyVue 打造的前后端分离的后台管理系统，支持在线配置菜单、路由、国际化，支持页签模式、多级菜单，支持丰富的模板类型，支持多种构建工具，功能强大、开箱即用！	https://opentiny.design/vue-pro	https://github.com/opentiny/tiny-pro
WebMCP-org/npm-packages	81	19	false	2025-08-15T15:39:56Z	2026-08-31T15:00:51Z	TypeScript	NPM packages for MCP-B: Transport layers, React hooks, and browser tools for the Model Context Protocol		https://github.com/WebMCP-org/npm-packages
parterburn/dabble.me	80	34	false	2014-09-26T04:12:25Z	2026-08-25T22:36:55Z	Ruby	A private journal over email service.	https://dabble.me	https://github.com/parterburn/dabble.me
TingdeLiu/tingdeliu.github.io	65	1	false	2026-01-04T08:05:28Z	2026-09-02T09:16:26Z	SCSS	My Personal Blog (Robotics)	https://tingdeliu.github.io/	https://github.com/TingdeLiu/tingdeliu.github.io
ojcp-org/ojcp	54	4	false	2026-04-22T18:32:35Z	2026-08-28T20:46:13Z	Bikeshed	Open Job Context Protocol -- an open standard for agent-consumable job feeds built on MCP	https://spec.ojcp.dev	https://github.com/ojcp-org/ojcp
webmaxru/web-ai-agent-skills	48	4	false	2026-03-14T17:31:43Z	2026-08-31T15:04:08Z	TypeScript	A high-quality, auto-updated (but manually reviewed) set of agent skills that covers key Web APIs supporting Web AI		https://github.com/webmaxru/web-ai-agent-skills
purrgrammer/grimoire	40	15	false	2025-12-10T16:27:54Z	2026-09-01T15:52:35Z	TypeScript	a nostr client for magicians	https://grimoire.rocks	https://github.com/purrgrammer/grimoire
flc1125/skills	36	7	false	2026-01-23T02:06:28Z	2026-08-27T03:15:37Z	TypeScript	A personal repository of reusable AI agent skills, designed to work across compatible tools with optional ecosystem-specific integrations.	https://skills.flc.io	https://github.com/flc1125/skills
plasmate-labs/plasmate	36	5	false	2026-03-16T17:38:22Z	2026-09-02T06:23:48Z	Rust	Browser engine for agents. HTML in, structured Semantic Object Model out. Native MCP and AWP with a supported CDP subset. Apache-2.0.	https://docs.plasmate.app	https://github.com/plasmate-labs/plasmate
microsoft-foundry/forgebook	33	9	false	2026-02-05T09:58:38Z	2026-08-31T17:58:46Z	Jupyter Notebook	Recipes for AI alchemists forging with Microsoft Foundry	https://microsoft-foundry.github.io/forgebook/	https://github.com/microsoft-foundry/forgebook
runmedev/web	30	6	false	2025-06-26T22:44:13Z	2026-09-02T00:21:20Z	TypeScript	Monorepo for Web & React Components		https://github.com/runmedev/web
eviltester/grid-table-editor	27	4	false	2021-05-28T14:29:17Z	2026-08-06T13:16:16Z	JavaScript	A CSV, Markdown Table Editor.	https://eviltester.github.io/grid-table-editor/	https://github.com/eviltester/grid-table-editor
IgorGanapolsky/ThumbGate	26	7	false	2026-03-03T18:13:26Z	2026-09-01T22:40:52Z	JavaScript	ThumbGate Pre-Action Checks self-improve from ranked lessons and repeated failures, hard-block detected secret leaks, and block matches in strict mode.	https://thumbgate.ai	https://github.com/IgorGanapolsky/ThumbGate
allcolor/PawFlow-Agents	23	2	false	2026-04-01T22:03:47Z	2026-09-01T23:16:28Z	Python	PawFlow (Platform for Agentic Workflows) Self-hosted agent runtime for real infrastructure. Run durable AI agents against your own files, tools, browsers, desktops, services, and workflows with relay-backed execution, shared context, multi-provider agents, and deterministic flows.	https://pawflow.allcolor.org/	https://github.com/allcolor/PawFlow-Agents
GaloisField2718/tldr_news	22	5	false	2023-09-01T11:36:58Z	2026-09-01T17:35:18Z	Python	This repo contains TLDR newsletter received in my mailbox and save each email in Markdown format with corresponding article. In a near future, we can use AI 🤖 to name each file and make indexes.	https://tldr-news-web.vercel.app	https://github.com/GaloisField2718/tldr_news
alpic-ai/webmcp-proxy	21	3	false	2026-02-23T08:04:51Z	2026-08-19T14:15:11Z	TypeScript	Integrate your existing MCP server on your website for browsing agent		https://github.com/alpic-ai/webmcp-proxy
mozilla/enterprise-firefox	21	39	false	2025-07-15T10:48:25Z	2026-09-02T09:15:28Z	JavaScript			https://github.com/mozilla/enterprise-firefox
open-horizon-labs/unified-hifi-control	20	3	false	2025-12-28T15:42:08Z	2026-09-02T02:36:12Z	Rust	Source-agnostic hi-fi control bridge		https://github.com/open-horizon-labs/unified-hifi-control
las-team/lastest	18	0	false	2026-04-06T18:08:10Z	2026-09-02T09:15:32Z	TypeScript	Lastest Visual Regression Testing - Cloud/Self-hosted version		https://github.com/las-team/lastest
gabrielmoreira/agent-skills-mirror	17	2	false	2026-03-23T13:19:25Z	2026-09-02T03:39:16Z	Python	Periodically refreshed mirror of agents, skills, prompts and instruction files from public repositories.		https://github.com/gabrielmoreira/agent-skills-mirror
alpic-ai/webmcp	15	0	false	2026-08-26T08:36:59Z	2026-08-27T16:19:02Z		Plugin to make your existing website MCP compatible		https://github.com/alpic-ai/webmcp
link1345/gua	15	0	false	2026-06-26T06:12:45Z	2026-09-02T07:48:04Z	C#	Playwright-style UI testing for Godot & Unity. One semantic automation layer for tests, CI, and AI coding agents via MCP.	https://gua.orizika.com/	https://github.com/link1345/gua
nekuda-ai/WindTunnel	15	1	false	2026-07-27T13:46:54Z	2026-08-31T12:53:04Z	HTML	A WebMCP benchmark, measures WebMCP against other browser-agent interfaces.		https://github.com/nekuda-ai/WindTunnel
Floorp-Projects/Floorp-Runtime	14	5	false	2025-01-10T13:09:16Z	2026-09-02T01:09:29Z	JavaScript			https://github.com/Floorp-Projects/Floorp-Runtime
gitkraken/gitbench	14	1	false	2026-05-21T11:20:23Z	2026-09-01T22:40:19Z	Python	A benchmark to test how well LLMs know git	https://gitbench.gitkraken.com	https://github.com/gitkraken/gitbench
jeong-sik/masc	13	3	false	2026-01-18T04:00:31Z	2026-09-02T09:38:40Z	OCaml	MASC - Multi-Agent Shared Context		https://github.com/jeong-sik/masc
danielsmithdevelopment/ClawQL	12	2	false	2026-03-19T22:39:38Z	2026-09-02T06:42:14Z	TypeScript	MCP server: search + execute over OpenAPI 3, Swagger 2, or Google Discovery, with optional internal GraphQL for lean API responses. Bundled multi-provider specs (GCP top 50, Cloudflare, Jira, GitHub, Slack, Sentry, n8n) let agents discover operations without loading full API definitions into context.		https://github.com/danielsmithdevelopment/ClawQL
aralroca/Janux	11	0	false	2026-07-21T13:53:33Z	2026-08-13T08:51:29Z	TypeScript	Janux - One component, two faces: UI for humans, MCP tools for AI agents. The agent-native fullstack framework.	https://janux.build	https://github.com/aralroca/Janux
rossrobino/blog	11	2	false	2022-08-09T01:32:20Z	2026-08-28T18:01:09Z	TypeScript	My blog	https://blog.robino.dev	https://github.com/rossrobino/blog
yoloshii/better-browser-use	9	1	false	2026-02-13T21:47:36Z	2026-06-17T22:45:46Z	Python	A hybrid SOTA browser use skill with tiered stealth escalation and turnstyle captcha trigger-avoidance. Includes early WebMCP functionality.		https://github.com/yoloshii/better-browser-use
3ssiri/RepoPulse	8	0	false	2026-06-01T19:17:00Z	2026-09-01T18:47:05Z	Python	CLI that scores GitHub repo health (scan, compare, create-issues). Install: pip install repopulse-cli	https://pypi.org/project/repopulse-cli/	https://github.com/3ssiri/RepoPulse
Daisuke134/life-manager	8	3	false	2026-05-24T07:43:10Z	2026-09-02T09:05:03Z	Python	AI that manages your life.	https://aniccaai.com	https://github.com/Daisuke134/life-manager
elbruno/weekly-ai-news-digest	8	4	false	2026-07-09T17:07:14Z	2026-09-01T17:36:37Z	JavaScript	🤖 Agentic daily AI & tech news digest — auto-generated every day with GitHub Agentic Workflows	https://elbruno.github.io/weekly-ai-news-digest	https://github.com/elbruno/weekly-ai-news-digest
happyhj/webmcp-blackjack	8	0	false	2026-02-24T04:10:51Z	2026-08-26T05:27:18Z	TypeScript			https://github.com/happyhj/webmcp-blackjack
wellwind/wellwind.github.io	8	0	false	2015-05-29T14:33:32Z	2026-08-06T12:35:01Z	TypeScript	My blog	https://fullstackladder.dev/	https://github.com/wellwind/wellwind.github.io
agentic-commerce-lab/webmcp-plugin	7	1	false	2026-06-24T09:58:54Z	2026-07-25T22:58:36Z	TypeScript	WebMCP support for Shopware storefronts, exposing structured catalog and cart tools for AI-capable browsers.		https://github.com/agentic-commerce-lab/webmcp-plugin
dai/o-sumo	7	0	false	2026-02-27T05:08:26Z	2026-09-02T08:32:54Z	TypeScript	大相撲APIs, Skillsを公開します(番付|星取|取組予定|取組結果)令和8年3月場所から。最下部に辞書あり | Sumo data, Shikona dictionaries, and scores. since 2026	https://osada.us	https://github.com/dai/o-sumo
getlago/lago-doc	7	25	false	2023-06-29T08:19:02Z	2026-09-02T00:16:30Z	MDX			https://github.com/getlago/lago-doc
lbliii/chirp	7	2	false	2026-02-07T16:56:19Z	2026-08-23T22:38:53Z	Python	⌁⌁ Chirp — HTML-first web framework for Python 3.14+ with streaming, SSE, and fragment rendering	https://lbliii.github.io/chirp/	https://github.com/lbliii/chirp
miikkij/aimeat-protocol	7	0	false	2026-04-28T07:42:42Z	2026-09-01T23:33:28Z	TypeScript	The Linux of AI - an open, federated, self-hosted AI operating system. Humans, AI agents, and local LLMs share apps, knowledge, and capabilities on nodes you own. MIT.	https://aimeat.io	https://github.com/miikkij/aimeat-protocol
TueJon/webmcpify	7	0	false	2026-07-12T12:18:46Z	2026-08-31T15:03:44Z	JavaScript	WebMCP agent skill — make any web app agent-ready, verifiably: inventory, integrate, verify in a real browser, heal. Claude Code, Codex, Cursor, opencode, Copilot.	https://webmcpify.at	https://github.com/TueJon/webmcpify
h3y6e/dotfiles	6	0	false	2022-04-25T21:28:22Z	2026-09-02T01:42:19Z	Shell	my dotfiles	https://s.h3y6e.com/dotfiles	https://github.com/h3y6e/dotfiles
Lightwing-Ng/agenticContext	6	0	false	2026-04-19T10:44:30Z	2026-09-02T09:25:50Z	Python			https://github.com/Lightwing-Ng/agenticContext
zenHeart/learn-ai	6	1	false	2023-06-05T01:41:32Z	2026-09-02T05:27:39Z	Vue	fronetend ai learning roadmap	https://ai.zenheart.site/	https://github.com/zenHeart/learn-ai
iAmIlluminati/HandWire	5	0	false	2026-08-13T07:27:05Z	2026-08-29T12:11:12Z	TypeScript			https://github.com/iAmIlluminati/HandWire
juan294/cc-rpi	5	3	false	2026-02-20T19:45:52Z	2026-09-01T07:50:19Z	Shell	Blueprint repository for Claude Code projects — RPI methodology, known agent error patterns, operational rules, and project templates		https://github.com/juan294/cc-rpi
dirnbauer/typo3-skills	4	0	false	2026-07-26T20:17:20Z	2026-08-29T10:44:23Z	HTML	TYPO3 v14 Agent Skills: 26 owned + 11 vendored, with a measured eval harness and a single gate command.		https://github.com/dirnbauer/typo3-skills
happyvertical/smrt	4	1	false	2025-10-16T13:32:16Z	2026-09-02T08:14:59Z	TypeScript	https://s-m-r-t.dev		https://github.com/happyvertical/smrt
ia3andy/devoured	4	0	false	2026-04-28T18:09:17Z	2026-09-02T08:19:19Z	HTML		https://devoured.fyi/	https://github.com/ia3andy/devoured
kyoto-tech/kyoto-tech.github.io	4	12	false	2025-11-17T05:43:00Z	2026-07-10T22:22:53Z	JavaScript	The official site of the Kyoto Tech Meetup	https://kyototechmeetup.com	https://github.com/kyoto-tech/kyoto-tech.github.io
0xSoftBoi/suwappubot	3	2	false	2025-12-01T22:02:06Z	2026-09-01T23:01:00Z	Python	Cross-chain DEX infrastructure for humans and AI agents — swap tokens across 14 chains via Telegram, WhatsApp, Discord, or a programmatic REST/MCP/A2A API.	https://www.suwappu.bot	https://github.com/0xSoftBoi/suwappubot
Creed-Space/VCP-SDK	3	0	false	2026-01-17T19:39:20Z	2026-08-21T09:03:41Z	Python	Project-controlled SDKs and conformance tooling for the Value Context Protocol	https://valuecontextprotocol.org/docs/getting-started/	https://github.com/Creed-Space/VCP-SDK
f-o-x11/dreaming-press	3	1	false	2026-03-22T04:24:41Z	2026-09-02T09:37:03Z	HTML	A publication where AI agents write for humans. Node/Express SSR + SQLite, autonomous newsroom, live AI-tool data engine. https://dreaming.press	https://dreaming.press	https://github.com/f-o-x11/dreaming-press
fellwork/aihu	3	0	false	2026-04-24T13:39:08Z	2026-08-19T17:01:44Z	Rust	An interactive meta framework that equally governs the security and experience of humans and AI	https://aihu.dev	https://github.com/fellwork/aihu
gdg-jp/learn	3	1	false	2025-02-08T06:32:07Z	2026-08-14T04:21:06Z	HTML	講義資料, Codelabs	https://learn.gdgs.jp	https://github.com/gdg-jp/learn
HanHan666666/patchbridge-agent	3	0	false	2026-08-25T14:09:42Z	2026-08-27T13:06:24Z	Java	Lightweight browser-side AI agent framework for legacy enterprise web apps—Java 8, Spring Boot 2, TypeScript, MCP/WebMCP, OpenAI-compatible LLMs, tool calling, streaming, audit, and persistence. 面向存量企业 Web 系统的轻量级 Agent 框架。		https://github.com/HanHan666666/patchbridge-agent
jeanavila997-ux/rotina-leve-playbook	3	1	false	2026-06-29T10:21:46Z	2026-07-01T23:26:26Z	HTML	Playbook anti-procrastinação para mentes aceleradas		https://github.com/jeanavila997-ux/rotina-leve-playbook
kevinch3/NicotinD	3	0	false	2026-03-20T18:31:36Z	2026-09-02T07:18:54Z	TypeScript	A self-hosted music server that finds the music too	http://nicotined.kevinroberts.ar	https://github.com/kevinch3/NicotinD
KyaniteHQ/modern-seo	3	0	false	2026-05-21T11:04:18Z	2026-06-30T22:10:46Z				https://github.com/KyaniteHQ/modern-seo
lqhuang/dotfiles	3	0	false	2018-10-13T08:25:06Z	2026-08-28T08:29:55Z	Shell	My customized configuration files/scripts.		https://github.com/lqhuang/dotfiles
Snakeblack/ospec-workflow	3	0	false	2026-05-25T08:54:36Z	2026-08-31T22:12:10Z	JavaScript	Multi-agent development harness for AI coding agents. Turns OpenSpec into persistent, verifiable delivery workflows with strict TDD, safety gates, and support for Claude Code, Codex, VS Code, Copilot CLI, and OpenCode..	https://ospec-workflow.mretamozo.com	https://github.com/Snakeblack/ospec-workflow
Teloz1870/cartwright-template	3	0	false	2026-05-19T18:03:56Z	2026-08-29T20:06:35Z	TypeScript	Cartwright — the open-source, WebMCP-native Next.js + Stripe commerce engine. Scaffold agent-ready storefronts with npx create-cartwright; MCP, voice/vision, JSON-LD, no SaaS lock-in.	https://cartwright.app	https://github.com/Teloz1870/cartwright-template
andreban/webmcp-appfunctions	2	0	false	2026-08-28T19:25:00Z	2026-09-02T07:10:18Z	TypeScript			https://github.com/andreban/webmcp-appfunctions
Arenukvern/intentcall	2	0	false	2026-05-28T15:02:33Z	2026-07-26T01:34:21Z	Dart	Transport-agnostic agent intent platform for Dart/Flutter — central registry (AgentRegistry), typed invocation model, and adapters for MCP, WebMCP, and native surfaces	https://docs.page/arenukvern/intentcall	https://github.com/Arenukvern/intentcall
datacode-app/kurdish-calendar-app	2	1	false	2025-03-04T19:45:37Z	2026-09-01T16:53:01Z	TypeScript	kurdish calendar		https://github.com/datacode-app/kurdish-calendar-app
ecooaonline/ecooa-website	2	0	false	2026-03-18T13:20:02Z	2026-09-02T02:09:53Z	HTML		https://ecooa-website.vercel.app	https://github.com/ecooaonline/ecooa-website
eralabs-ai/ora-cli	2	0	false	2026-08-10T21:57:27Z	2026-08-31T19:08:05Z	TypeScript	ax (@ora-ai/ax) - audit any domain's agent-readiness from your terminal or CI. The CLI for ora.ai		https://github.com/eralabs-ai/ora-cli
its-rahul-r15/VULCAN-SDK	2	0	false	2026-07-31T18:30:00Z	2026-08-18T11:22:26Z	TypeScript		https://vulcan-sdk.itsrahulr15.online	https://github.com/its-rahul-r15/VULCAN-SDK
jeremy-london/jeremylondon.com	2	0	false	2024-03-02T18:13:20Z	2026-07-27T03:23:42Z	JavaScript	Explore captivating insights on AI, tech trends, and engineering. Your gateway to curiosity awaits. Dive in!	https://jeremylondon.com	https://github.com/jeremy-london/jeremylondon.com
kombifyio/StackKits	2	0	false	2026-02-28T21:03:44Z	2026-09-02T08:40:48Z	Go			https://github.com/kombifyio/StackKits
lightpanda-io/wpt	2	0	false	2024-01-03T09:00:50Z	2026-08-24T23:12:23Z	HTML	web platform tests cases		https://github.com/lightpanda-io/wpt
Mark-Life/webMCP-example	2	0	false	2026-02-16T09:59:06Z	2026-08-10T11:15:19Z	TypeScript	WebMCP Demo: oRPC -> WebMCP bridge that auto0registers procedures as WebMCP tools	https://andrey-markin.com/projects/webmcp-example	https://github.com/Mark-Life/webMCP-example
mentria-ai/website	2	1	false	2024-11-07T09:02:33Z	2026-09-02T09:23:10Z	Nunjucks	An open-source, AI driven social media platform where users can submit, follow and scroll through media content, updated automatically via GitHub Actions.	https://mentria.ai	https://github.com/mentria-ai/website
sdras/webmcp-server-interaction-demo	2	0	false	2026-08-07T14:47:01Z	2026-08-24T08:10:22Z	JavaScript	Just a small example of WebMCP and MCP to kick tires, nothing special		https://github.com/sdras/webmcp-server-interaction-demo
shidhincr/web-mcp-chromeai-demo	2	1	false	2026-02-24T13:14:26Z	2026-07-15T12:19:59Z	TypeScript	Browser-native AI demo: chat to generate Mermaid diagrams rendered on an Excalidraw canvas using WebMCP, Gemini, and on-device AI	https://shidh.in/demo/webmcp-excalidraw/	https://github.com/shidhincr/web-mcp-chromeai-demo
Svishwa2004/airlock	2	0	false	2026-08-26T21:52:33Z	2026-08-28T07:35:44Z	TypeScript	An AI agent can analyze your spreadsheet without ever receiving it.		https://github.com/Svishwa2004/airlock
thedixitjain/the-mega-skill-library	2	0	false	2026-07-30T19:31:44Z	2026-08-14T02:51:10Z	Python	35,802 agent skills, subagents, slash commands, prompts and rules files curated from 186 GitHub repositories — browsable, greppable, installable.	https://github.com/thedixitjain/the-mega-skill-library	https://github.com/thedixitjain/the-mega-skill-library
VPAI-Grok/AIC	2	0	false	2026-03-29T01:25:25Z	2026-08-31T16:26:48Z	TypeScript	Open-source behavioral assurance for WebMCP and agent-operated software: prove cross-surface behavior and fail closed before consequential actions.		https://github.com/VPAI-Grok/AIC
