# GitHub repository-search snapshot
# Query family: webmcp created:YYYY-MM-DD fork:false
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: repositories created from 2026-08-25 through 2026-09-02 inclusive.
# Important: a search match is not proof that the repository implements the current WebMCP API.
# Columns: repo, created_at, stars, language, description, homepage, github_url
repo	created_at	stars	language	description	homepage	github_url
apc5074/syslab	2026-08-25T22:32:29Z	0	TypeScript	OpenAI Dev WebMCP Challenge Entry	https://syslab-9ys7.vercel.app	https://github.com/apc5074/syslab
astro-fusion/af-mcp	2026-08-25T23:23:29Z	0	TypeScript	Astrofusion - astrology tools MCP for browser Web-MCP	https://astro-fusion.github.io/af-mcp/	https://github.com/astro-fusion/af-mcp
dkharlanau/agent-ready-web-profile	2026-08-25T10:14:36Z	0	JavaScript	Interoperability profile and MCP gateway for agent-ready websites — llms.txt, Agent Skills, WebMCP, MCP, A2A, schemas and provenance.	https://dkharlanau.github.io/agent-ready-web-profile/	https://github.com/dkharlanau/agent-ready-web-profile
edmiyatake/webmcp-supermarket	2026-08-25T23:18:36Z	0	TypeScript	The WebMCP Supermarket is a supermarket sim built for the OpenAI WebMCP Challenge, hire AI employees powered by real WebMCP tools to run your store.		https://github.com/edmiyatake/webmcp-supermarket
gene9831/opentiny-next-integration-guide	2026-08-25T13:26:21Z	0		OpenTiny AI application integration guide covering TinyRobot, GenUI, WebMCP, business Skills, and PageTool.		https://github.com/gene9831/opentiny-next-integration-guide
haidmoham/agent-physics-lab	2026-08-25T21:27:52Z	0	JavaScript	Can an AI agent do physics experiments through a webpage? A tiny deterministic WebMCP lab.		https://github.com/haidmoham/agent-physics-lab
mikigraf/Page2WebMCP	2026-08-25T21:40:28Z	0	TypeScript	Add WebMCP to any website in minutes		https://github.com/mikigraf/Page2WebMCP
morcoan/crosstalk	2026-08-25T23:21:30Z	0	TypeScript	A co-op bomb-defusal game where the second player is your AI agent — built natively on WebMCP. You see the device; your agent holds the manual.	https://morcoan.github.io/crosstalk/	https://github.com/morcoan/crosstalk
patrickjcraig/fluffy-happiness	2026-08-25T20:16:43Z	0	JavaScript	Patrick's submission for OpenAI's webMCP Hackathon.		https://github.com/patrickjcraig/fluffy-happiness
robertonevarez/fullcalendar-webmcp	2026-08-25T23:17:16Z	0	TypeScript	Add WebMCP tools to existing FullCalendar React apps.	https://protocoltooling.com/integrations/fullcalendar	https://github.com/robertonevarez/fullcalendar-webmcp
rodrigo-silvano/dualsurface	2026-08-25T23:38:12Z	0	JavaScript	A WebMCP runtime for simultaneous human and AI control of synchronized live web surfaces.		https://github.com/rodrigo-silvano/dualsurface
rookepoole/runbook-zero	2026-08-25T23:27:02Z	0	TypeScript	Human-authorized incident response on a shared WebMCP surface.	https://runbook-zero.rookepoole.chatgpt.site	https://github.com/rookepoole/runbook-zero
solahai/referralarc	2026-08-25T22:57:25Z	0	TypeScript	Capability-lifetime consent for the administrative handoff after a clinician orders care — built with native WebMCP.	https://referralarc.docsplainai.chatgpt.site	https://github.com/solahai/referralarc
wobsoriano/svelte-webmcp	2026-08-25T22:20:08Z	1	TypeScript			https://github.com/wobsoriano/svelte-webmcp
x-prime-ai/dstar	2026-08-25T07:01:28Z	0	TypeScript	HTML-first review workspace where people and WebMCP agents create, comment, revise, and decide together.	https://www.thinkofu.ai/dstar/	https://github.com/x-prime-ai/dstar
0xTrey/proofroom-webmcp	2026-08-26T22:40:07Z	0	TypeScript	Agent-native B2B buyer room built with WebMCP for the OpenAI WebMCP Challenge		https://github.com/0xTrey/proofroom-webmcp
23kb/chalk	2026-08-26T17:25:40Z	0	TypeScript	A live whiteboard your AI agent can draw on, point at, replay, and read back. OpenAI WebMCP Challenge entry.		https://github.com/23kb/chalk
488315/frameguard	2026-08-26T03:45:36Z	1	TypeScript	Human-in-the-loop visual change review powered by WebMCP	https://488315.github.io/frameguard/	https://github.com/488315/frameguard
850Media/routegap	2026-08-26T01:59:28Z	0	TypeScript	Turn idle technician time into neighborhood opportunity with WebMCP.	https://routegap.vercel.app	https://github.com/850Media/routegap
AjitD01/opendoor-webmcp	2026-08-26T10:51:50Z	0	TypeScript			https://github.com/AjitD01/opendoor-webmcp
AkiGarage/helprelay-webmcp	2026-08-26T05:43:24Z	0	JavaScript	Safety-first WebMCP collaboration for people, browser agents, and trusted helpers.	https://akigarage.github.io/helprelay-webmcp/	https://github.com/AkiGarage/helprelay-webmcp
AlexCo888/webmcp_adaptive_world	2026-08-26T17:28:10Z	0	TypeScript		https://passport-eosin.vercel.app	https://github.com/AlexCo888/webmcp_adaptive_world
AnkanMisra/webmcp-project	2026-08-26T13:32:13Z	0	Rust		https://recovery-control-room.vercel.app	https://github.com/AnkanMisra/webmcp-project
ArkaPrabhaChowdhury/webmcp-observatory	2026-08-26T10:15:46Z	0	JavaScript	Inspect, audit, execute, and compare WebMCP tools with explicit approval and replayable evidence.		https://github.com/ArkaPrabhaChowdhury/webmcp-observatory
BertilLund/commit-webmcp	2026-08-26T10:41:56Z	0	JavaScript	Git for agent actions on the web.		https://github.com/BertilLund/commit-webmcp
BruinGrowly/PSCS-SecureOps	2026-08-26T12:05:14Z	0	TypeScript	Authority-safe WebMCP for AI-assisted IT operations — untrusted content informs, independently verified human authority decides.	https://pscs-secureops.warek21.chatgpt.site	https://github.com/BruinGrowly/PSCS-SecureOps
BuFi007/bufi-webmcp	2026-08-26T01:16:17Z	0	TypeScript	Agent-friendly invoice and reimbursement workflows with WebMCP		https://github.com/BuFi007/bufi-webmcp
Chujutak2024/cargomesh	2026-08-26T05:44:02Z	0	TypeScript	Agent-native control tower for international truck fleets. It evaluates vehicle readiness, border documentation, maintenance risks and empty return trips using WebMCP.	https://cargomesh.vercel.app	https://github.com/Chujutak2024/cargomesh
Citability/autopilot	2026-08-26T02:40:47Z	0	TypeScript	An AI-search control room where the agent is the operator and the human holds the authority. WebMCP, a four-tier permission kernel, and evidence that verifies against production.		https://github.com/Citability/autopilot
Citability/webmcp-lab	2026-08-26T00:13:52Z	0	JavaScript	Lighthouse for WebMCP: test whether an agent can actually use your site reliably.	https://webmcp-lab.vercel.app	https://github.com/Citability/webmcp-lab
DJLougen/flylab	2026-08-26T13:48:14Z	0	TypeScript	A scientifically transparent WebMCP virtual Drosophila neuroethology lab.	https://flylab-neuroethology.d-lougen.chatgpt.site/	https://github.com/DJLougen/flylab
DMJ786/authority-shift-webmcp	2026-08-26T11:15:29Z	0	TypeScript	Authority Shift: dynamic human-approved WebMCP capabilities for employee onboarding		https://github.com/DMJ786/authority-shift-webmcp
DavidDiazMerino/footballaidata-match-room	2026-08-26T15:43:06Z	0	TypeScript	WebMCP tactical match room that turns the football pitch into a shared language for coaches and agents.	https://footballaidata-match-room.daviddmerino.chatgpt.site	https://github.com/DavidDiazMerino/footballaidata-match-room
Developer668/Schematic	2026-08-26T04:32:27Z	0	TypeScript	Schematic is an agent-native workspace for designing and simulating connected hardware. Visual drag-and-drop canvas with 500+ boards/sensors/displays, firmware editor, validation, and 42 WebMCP tools for human + AI collaboration.	https://schematic-webmcp-studio.pages.dev/studio	https://github.com/Developer668/Schematic
DoobyDev/NetSpectre-WebMCP-Challenge	2026-08-26T15:33:23Z	0	TypeScript	Human-led cyber investigation for people and agents, built for the 2026 WebMCP Challenge.		https://github.com/DoobyDev/NetSpectre-WebMCP-Challenge
Doom-pixel-alt/unixpanse-sourcing-desk	2026-08-26T00:51:38Z	0	TypeScript	UniXpanse sourcing desk — a shared brief where a lab and an agent write licensed-data requests together, via WebMCP.		https://github.com/Doom-pixel-alt/unixpanse-sourcing-desk
Elemperor1/building-repairs-webmcp	2026-08-26T13:26:50Z	0	TypeScript	Fix This — Repairs without the runaround. SMS-first rental repair coordination with WebMCP.		https://github.com/Elemperor1/building-repairs-webmcp
EloiRamos/redline	2026-08-26T22:15:59Z	0	TypeScript	Browser-native WebMCP authority boundaries for shared human-agent-human workflows.	https://redline-webmcp.netlify.app	https://github.com/EloiRamos/redline
GLDRoger/eevee-mcp	2026-08-26T08:33:58Z	0	TypeScript	A durable workspace for people and browser agents to create, run, and improve reusable applets with WebMCP.		https://github.com/GLDRoger/eevee-mcp
HackInvent/proofsheet	2026-08-26T08:29:29Z	0	TypeScript	Auditable, local-first CSV repair for people and WebMCP agents	https://hackinvent.github.io/proofsheet/	https://github.com/HackInvent/proofsheet
Hazelf0x/pixelplace	2026-08-26T15:26:34Z	0	TypeScript	Pixel art that is source code. A WebMCP tool surface that lets your agent write, compile and refine PixelCraft programs — exact canvas, locked palette, frames that line up.	https://pixelplace-web.vercel.app	https://github.com/Hazelf0x/pixelplace
HenrikBrixCare/forsyningsdata-danmark-webmcp	2026-08-26T10:55:19Z	0	TypeScript	Address-first Danish public-data app exposing structured property, utility and environmental workflows to AI agents through WebMCP.	https://forsyningsdata-danmark-git-webmcp-challenge-2026-tilbudstjek.vercel.app	https://github.com/HenrikBrixCare/forsyningsdata-danmark-webmcp
HenryBranchAdams/fogwood	2026-08-26T17:31:47Z	0	TypeScript	Fogwood is a device-local, WebMCP-enabled tldraw canvas for human-reviewed agent composition.	https://fogwood.madebyhenry.chatgpt.site	https://github.com/HenryBranchAdams/fogwood
HuiYingChung/sky-to-porch-webmcp	2026-08-26T19:21:18Z	0	TypeScript		https://sky-to-porch-webmcp.vercel.app	https://github.com/HuiYingChung/sky-to-porch-webmcp
Illuminfti/threshold	2026-08-26T22:00:43Z	0		WebMCP Challenge. A live desk where people and agents share one page, and irreversible actions wait for the human.		https://github.com/Illuminfti/threshold
JEROME-PRAKASH-L/community-tool-library-webmcp	2026-08-26T11:23:21Z	0	JavaScript	AI-assisted community tool library with approval-gated reservations exposed through WebMCP.	https://community-tool-library-webmcp.vercel.app/	https://github.com/JEROME-PRAKASH-L/community-tool-library-webmcp
Joe-Simo/paradox-webmcp	2026-08-26T13:44:45Z	0	TypeScript	Paradox — deterministic temporal correctness testing for human-agent WebMCP applications	https://www.paradoxwebmcp.com	https://github.com/Joe-Simo/paradox-webmcp
KevinMMXI/blink-borrow-webmcp	2026-08-26T15:20:22Z	0	JavaScript	Temporary, human-approved capabilities for AI agents using WebMCP.		https://github.com/KevinMMXI/blink-borrow-webmcp
LIghtJUNction/go.lmm.best	2026-08-26T10:20:02Z	1	TypeScript	Human vs. AI Go, powered by WebMCP	https://go.lmm.best	https://github.com/LIghtJUNction/go.lmm.best
Laksh-star/signal-desk-webmcp	2026-08-26T15:06:11Z	0	JavaScript	Provenance-first WebMCP intelligence review room for evidence-linked briefs and approval-gated actions.		https://github.com/Laksh-star/signal-desk-webmcp
LubuSeb/rehearse	2026-08-26T15:37:11Z	0	TypeScript	Human-approved spatial rehearsals powered by WebMCP.	https://rehearse-webmcp.netlify.app	https://github.com/LubuSeb/rehearse
Maharajahu/toolbraid	2026-08-26T17:48:42Z	1	JavaScript	A browser-native semantic and policy control plane for safe, explainable, human-approved WebMCP execution across sites.	https://toolbraid-webmcp.vercel.app	https://github.com/Maharajahu/toolbraid
MakikoOhashi/repro-webmcp	2026-08-26T00:41:49Z	0	TypeScript	Reproduce any application state and see the real UI instantly		https://github.com/MakikoOhashi/repro-webmcp
MohammedGhazal09/DOMHamster	2026-08-26T15:22:54Z	0	TypeScript	WebMCP Hackathon.		https://github.com/MohammedGhazal09/DOMHamster
MySoci/mysoci-agent-city-webmcp	2026-08-26T14:00:22Z	0	TypeScript	An agent-native social city powered by WebMCP		https://github.com/MySoci/mysoci-agent-city-webmcp
Olympusxvn/olympus-mcp-harness	2026-08-26T09:02:31Z	0	TypeScript	The model reasons. WebMCP connects. Olympus controls. The machine executes.	https://olympus-mcp-harness.vercel.app	https://github.com/Olympusxvn/olympus-mcp-harness
Parithosh-Varma/agentflow	2026-08-26T17:26:04Z	0		Human × Agent visual workflow builder with WebMCP		https://github.com/Parithosh-Varma/agentflow
Parithosh-Varma/agentflow-webmcp	2026-08-26T11:58:29Z	0	TypeScript	Visual Workflow Builder x WebMCP — Hackathon project		https://github.com/Parithosh-Varma/agentflow-webmcp
Patriot-Conceptions/surrogate-guide-site-tools-demo	2026-08-26T19:51:03Z	0	TypeScript	Clean-room WebMCP Site Tools demo for a visible eight-stage surrogate journey guide	https://patriot-conceptions.github.io/surrogate-guide-site-tools-demo/	https://github.com/Patriot-Conceptions/surrogate-guide-site-tools-demo
PerkinzPie/Attendly-webMCP	2026-08-26T21:50:08Z	0	TypeScript	A lightweight Attendly demonstration built for the OpenAI WebMCP Challenge using synthetic data.		https://github.com/PerkinzPie/Attendly-webMCP
SankrityaT/openai-mcp-hackathon	2026-08-26T03:52:01Z	0	TypeScript	your canvas beyond the prompt. a webmcp-native agent workspace: chatgpt drives the canvas through 12 in-page tools, cardea browses the real web in parallel, and nothing commits without you.	https://cardea-two.vercel.app	https://github.com/SankrityaT/openai-mcp-hackathon
Scovant/agent-readiness	2026-08-26T19:32:41Z	0		AI Agent Readiness Checklist — robots.txt for AI crawlers, llms.txt, MCP/WebMCP/UCP, structured data, agent task testing		https://github.com/Scovant/agent-readiness
SeCuReDmE-main-dev/quantech-vid	2026-08-26T18:26:53Z	0	Python	Local-first agentic video studio for podcast creators, with WebMCP, provider adapters, voice, avatar, provenance, and evals.		https://github.com/SeCuReDmE-main-dev/quantech-vid
SebastianBoehler/webmcp-structural-evolution	2026-08-26T07:42:03Z	0	TypeScript	Agent-native WebGPU structural evolution workbench with WebMCP	https://webmcp-structural-evolution.vercel.app	https://github.com/SebastianBoehler/webmcp-structural-evolution
SnitterDK/prizepilot-webmcp	2026-08-26T11:37:41Z	0	TypeScript	Human-controlled WebMCP workspace for verified funding and competition applications.		https://github.com/SnitterDK/prizepilot-webmcp
Somnora/agentic-webmcp	2026-08-26T00:42:09Z	4	TypeScript	Open-source WebMCP commerce tools for transparent human-agent catalog collaboration.	https://agentic-webmcp.somnora.workers.dev/	https://github.com/Somnora/agentic-webmcp
SouravInsights/webmcp-stack	2026-08-26T17:22:24Z	4	TypeScript	Generate safe, typed, human-reviewed WebMCP tools from the API contracts you already have, instead of hand-writing registerTool() calls for every action.	https://webmcp-stack.vercel.app	https://github.com/SouravInsights/webmcp-stack
Surjeet9700/clearance	2026-08-26T13:01:25Z	0	TypeScript	Your agent shops. You set the rules. An agent-native storefront with spending rules, approval gates, receipts and undo - WebMCP Challenge entry.		https://github.com/Surjeet9700/clearance
Tactic-Systems/leafwright-paperdesk	2026-08-26T03:15:10Z	0	TypeScript	Documents that fix themselves — a human+agent PDF workbench built on WebMCP for the OpenAI WebMCP Challenge	https://leafwright.co	https://github.com/Tactic-Systems/leafwright-paperdesk
Tangieff/ai-api-prices	2026-08-26T20:39:57Z	0	TypeScript	Open-source AI API price comparison with live provider pricing and WebMCP Site Tools.	https://ai-prices.oxweb.xyz	https://github.com/Tangieff/ai-api-prices
TenzyZ/webmcp-course-planner	2026-08-26T13:39:52Z	0	TypeScript	A shared-state Biology course planner where humans and AI agents collaborate through page-native WebMCP tools.	https://webmcp-course-planner.vercel.app	https://github.com/TenzyZ/webmcp-course-planner
TheBestCo/bestprice-mcp	2026-08-26T07:35:11Z	0	JavaScript	Official BestPrice MCP and WebMCP for shopping decisions, product search, offer comparison, and price history	https://www.bestprice.gr/mcp	https://github.com/TheBestCo/bestprice-mcp
Timtech4u/basket-webmcp	2026-08-26T20:09:49Z	0	JavaScript	Basket: a rights-safe, three-origin WebMCP shopping proof with grounded tools and human-controlled handoff.	https://basketshopper.com	https://github.com/Timtech4u/basket-webmcp
Timtech4u/groundedrelay-webmcp	2026-08-26T21:25:05Z	0	JavaScript	Cross-origin WebMCP shopping kit with visible evidence and a human-gated handoff	https://groundedrelay.pages.dev	https://github.com/Timtech4u/groundedrelay-webmcp
Trueuss/baw-webmcp	2026-08-26T08:43:57Z	0	TypeScript			https://github.com/Trueuss/baw-webmcp
UiJosh20/AFTER	2026-08-26T14:08:23Z	0	TypeScript	A financial decision engine that lets people simulate the consequences of major financial decisions, compare possible futures, and have an agent execute approved actions through WebMCP.		https://github.com/UiJosh20/AFTER
Vice-Robotics-LLC/MARADMIN-Research-Desk	2026-08-26T18:57:57Z	0	TypeScript	Security-first WebMCP research desk for official public MARADMIN messages	https://maradmin-research-desk.christian-c08.workers.dev	https://github.com/Vice-Robotics-LLC/MARADMIN-Research-Desk
WholeWhale/verified-giving-protocol	2026-08-26T16:15:52Z	0	Python	Verified Giving Protocol (VGP) - an open standard letting nonprofits declare their authorized giving pathways, with WebMCP tools and the VGPify skill.	https://verified-giving-protocol.vercel.app	https://github.com/WholeWhale/verified-giving-protocol
WildOctopus0x/common-table-webmcp	2026-08-26T14:20:56Z	0	JavaScript	A WebMCP storefront that builds and repairs explainable group orders.		https://github.com/WildOctopus0x/common-table-webmcp
Yousafkhanzadaa/ArchMorph	2026-08-26T07:16:23Z	0	TypeScript	Human + agent architectural concept design with 40 WebMCP tools, synchronized 2D/3D, validation, and Walk Mode.	https://archmorph-studio.musfk.chatgpt.site	https://github.com/Yousafkhanzadaa/ArchMorph
adamblumoff/agent-flight-sim	2026-08-26T02:03:22Z	0	TypeScript	An in-browser flight simulator for a human pilot and AI copilot using WebMCP		https://github.com/adamblumoff/agent-flight-sim
adityarya24/askpanditji-webmcp	2026-08-26T15:33:16Z	0	JavaScript	WebMCP demo: an agent that asks before it guesses your birth place	https://askpanditji-webmcp.vercel.app	https://github.com/adityarya24/askpanditji-webmcp
adnannagpurwala53-oss/CO-Draft-WebMCP	2026-08-26T11:32:49Z	0	JavaScript	A shared board where humans and AI agents collaborate using WebMCP.	https://co-draft-web-mcp.vercel.app	https://github.com/adnannagpurwala53-oss/CO-Draft-WebMCP
aitoehigie/hunch-form2mcp	2026-08-26T20:08:31Z	3	TypeScript	Turn any HTML <form> into strict WebMCP tools — CLI that emits declarative toolname/tooldescription attributes + imperative ModelContextTool JSON for document.modelContext. Zero LLM.	https://hunchbank.com/free-tools/hunch-form2mcp	https://github.com/aitoehigie/hunch-form2mcp
ak1749/second-pen	2026-08-26T15:54:04Z	0	JavaScript	An architecture diagramming canvas that agents can restructure through WebMCP while humans watch.	https://second-pen.vercel.app	https://github.com/ak1749/second-pen
akashlives/callsmith	2026-08-26T21:43:55Z	0	TypeScript	The WebMCP reliability workbench — forge tool calls that hold up in the real world.		https://github.com/akashlives/callsmith
allangmr/inherit	2026-08-26T04:54:07Z	0	TypeScript	Agent-native multi-step form + Google Calendar booking for the OpenAI WebMCP Challenge. Design-token inheritance + structured WebMCP tools.		https://github.com/allangmr/inherit
alpic-ai/webmcp	2026-08-26T08:36:59Z	15		Plugin to make your existing website MCP compatible		https://github.com/alpic-ai/webmcp
andex23/cargopilot-webmcp	2026-08-26T19:36:05Z	0	TypeScript			https://github.com/andex23/cargopilot-webmcp
andre94/homewheel-webmcp	2026-08-26T13:43:33Z	0	TypeScript	Wheelchair-aware room planning with visible, consent-based WebMCP agent proposals.		https://github.com/andre94/homewheel-webmcp
arjunkshah12345-hash/slate	2026-08-26T03:11:45Z	0	TypeScript	Directing studio for people and agents. Built for the OpenAI WebMCP Challenge.	https://slate-webmcp.vercel.app	https://github.com/arjunkshah12345-hash/slate
aryansk/mend-webmcp	2026-08-26T11:11:40Z	1	TypeScript	Mend turns website audits into human-approved, source-mapped, verified repairs through WebMCP.	https://mend-webmcp.vercel.app/	https://github.com/aryansk/mend-webmcp
asub927/inquiry-island	2026-08-26T12:17:04Z	0	TypeScript	Inquiry Island — NC K–5 Math, ELA & Science shared boards with WebMCP (WebMCP Challenge)	https://inquiry-island.vercel.app	https://github.com/asub927/inquiry-island
az9713/webmcp-demo	2026-08-26T04:25:50Z	0	HTML	Interactive WebMCP demo and field guide showing how ChatGPT discovers and uses structured site tools in a live webpage.		https://github.com/az9713/webmcp-demo
banjtheman/vibe_tide_live	2026-08-26T18:47:43Z	0	TypeScript	Play, build, and share agent-made 2D platformer levels with WebMCP.	https://vibetide-live.banjtheman.chatgpt.site	https://github.com/banjtheman/vibe_tide_live
benaiah3/benaiah-agent-foundry-webmcp	2026-08-26T15:59:04Z	0	JavaScript	Give an agent a workforce, a voice and a telephone identity through WebMCP.	https://benaiah.ai/	https://github.com/benaiah3/benaiah-agent-foundry-webmcp
braxtonROSE4/webmcp-skills	2026-08-26T14:28:20Z	0	Shell			https://github.com/braxtonROSE4/webmcp-skills
calgulbenkian/form-fuzzer	2026-08-26T12:34:05Z	0	JavaScript	WebMCP-powered form fuzzer: your agent perturbs a sandboxed fork of a bureaucratic application to find trap answers before you submit. OpenAI WebMCP Challenge entry.	https://form-fuzzer.pages.dev	https://github.com/calgulbenkian/form-fuzzer
calgulbenkian/tallow	2026-08-26T12:34:12Z	0	JavaScript	Tallow: your agent's daily budget is a wax candle — every WebMCP tool call burns wax, and tools deregister as the flame dies. OpenAI WebMCP Challenge entry.	https://tallow-webmcp.pages.dev	https://github.com/calgulbenkian/tallow
charlie-troy/webmcp-board	2026-08-26T14:08:29Z	0	TypeScript		https://webmcp-board.vercel.app	https://github.com/charlie-troy/webmcp-board
charlie-troy/webmcp-data	2026-08-26T14:08:33Z	0	TypeScript		https://webmcp-data.vercel.app	https://github.com/charlie-troy/webmcp-data
charlie-troy/webmcp-studio	2026-08-26T14:08:24Z	0	TypeScript		https://webmcp-studio-five.vercel.app	https://github.com/charlie-troy/webmcp-studio
christkalen/gather-webmcp	2026-08-26T23:48:28Z	0	TypeScript	Gather is an agent-native company retreat planning workspace built for the OpenAI WebMCP Challenge.	https://gather-webmcp.vercel.app	https://github.com/christkalen/gather-webmcp
coreyhiggins/accesspath	2026-08-26T00:17:06Z	0	JavaScript	AccessPath: an agent-native planner for accessible group experiences using WebMCP		https://github.com/coreyhiggins/accesspath
danash2/tradeguard-agent-console	2026-08-26T18:23:52Z	0	JavaScript	TradeGuard Agent Console — WebMCP 2026 competition release		https://github.com/danash2/tradeguard-agent-console
danbrazieruk/look	2026-08-26T13:51:58Z	0	TypeScript	LOOK — turn inspiration into an outfit you can actually buy. A WebMCP shop-the-look workspace shared by you and an AI stylist.		https://github.com/danbrazieruk/look
datAgent77/dealpilot	2026-08-26T14:25:25Z	0	TypeScript	DealPilot for WebMCP	https://dealpilot-dusky.vercel.app	https://github.com/datAgent77/dealpilot
daviddprtma/indonesia-weather-webmcp	2026-08-26T04:12:37Z	0	JavaScript	Nusantara Weather is an interactive weather dashboard designed for the open web + AI agent era.	https://indonesia-weather-webmcp.vercel.app	https://github.com/daviddprtma/indonesia-weather-webmcp
davidvkimball/webmcp-frontdesk	2026-08-26T05:15:30Z	0	Astro	A plumbing business website that exposes real tools to AI agents over WebMCP. Check the service area, check availability, get an estimate, book a visit. Built for the OpenAI WebMCP Challenge.	https://clarks-creek-plumbing.netlify.app	https://github.com/davidvkimball/webmcp-frontdesk
devteapot/relay-webmcp	2026-08-26T15:50:41Z	0	TypeScript	A shared infinite canvas where people and browser agents collaborate through WebMCP	https://relay-research-canvas.carlid-dev.chatgpt.site/	https://github.com/devteapot/relay-webmcp
digitalpilipinas/choice-and-cosmos-webmcp	2026-08-26T04:46:57Z	0		Choice & Cosmos WebMCP — Personal Energy Forecast, an agent-native reflective guide for daily, weekly, and yearly choices.		https://github.com/digitalpilipinas/choice-and-cosmos-webmcp
elshopeful/hopesong.ai	2026-08-26T06:52:46Z	0	JavaScript	A WebMCP-powered spiritual companion that helps AI agents turn moments of fear, weariness, and uncertainty into personalized journeys of hope.		https://github.com/elshopeful/hopesong.ai
enjuguna/WebMCP-Challenge	2026-08-26T00:54:46Z	0	TypeScript		https://hesabu-eta.vercel.app	https://github.com/enjuguna/WebMCP-Challenge
farhanmunshi-ops/webmcp-merchant-kit	2026-08-26T01:29:43Z	0	JavaScript	Merchant-defined WebMCP tools alongside Shopify's built-ins — live B2B Agent Quote Desk on packrift.com. OpenAI WebMCP Challenge entry.		https://github.com/farhanmunshi-ops/webmcp-merchant-kit
febert0001-tech/changegate-webmcp	2026-08-26T13:42:37Z	0	TypeScript			https://github.com/febert0001-tech/changegate-webmcp
fokrulanthro16-eng/chronophys-webmcp-gateway	2026-08-26T19:10:00Z	0	Python	An Agent-Ready Industrial Platform natively implementing W3C WebMCP document.modelContext standard.	https://chronophys-webmcp-gateway.vercel.app	https://github.com/fokrulanthro16-eng/chronophys-webmcp-gateway
